Depth,Exp
0.0013448,a
0.0018382,a
0.0022209,a
0.0024264,a
0.0026765,a
0.0028166,a
0.0029473,a
0.0032364,a
0.0034968,a
0.0035895,a
0.0036467,a
0.0037107,a
0.0037713,a
0.0038528,a
0.003879,a
0.0038706,a
0.0038637,a
0.0039021,a
0.0039749,a
0.0039878,a
0.0040326,a
0.0041213,a
0.0041289,a
0.0041285,a
0.0041684,a
0.0041687,a
0.0041854,a
0.0042231,a
0.0042496,a
0.0042464,a
0.0041855,a
0.0041115,a
0.0040529,a
0.0040424,a
0.0041221,a
0.0041601,a
0.0041128,a
0.0041521,a
0.0041942,a
0.0041713,a
0.0042014,a
0.0041966,a
0.004157,a
0.0041818,a
0.0042201,a
0.0042431,a
0.0042146,a
0.0041528,a
0.0041049,a
0.0041236,a
0.0041618,a
0.0041525,a
0.0041421,a
0.0041809,a
0.0041791,a
0.0041594,a
0.0042035,a
0.0041682,a
0.0040892,a
0.0040623,a
0.0040685,a
0.0040215,a
0.0040034,a
0.0040362,a
0.0040317,a
0.0040579,a
0.0040649,a
0.0040721,a
0.0040882,a
0.0040471,a
0.0039901,a
0.0039281,a
0.0039234,a
0.0039523,a
0.0039533,a
0.0039271,a
0.0039038,a
0.0039234,a
0.0039387,a
0.0039956,a
0.004053,a
0.0040671,a
0.0040429,a
0.0040042,a
0.0039307,a
0.0039124,a
0.0039303,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
-0.00031579,a
0,a
0,a
0,a
0,a
0,a
0,a
-0.00031439,a
-0.000299,a
-0.00036656,a
-0.00044974,a
-0.00045943,a
-0.00042342,a
-0.00046921,a
-0.00053946,a
-0.00058802,a
-0.00055249,a
-0.00044591,a
-0.00035969,a
-9.07E-05,a
0.00038629,a
0.00076935,a
0.001026,a
0.0012368,a
0.0015556,a
0.0019351,a
0.0021471,a
0.0024619,a
0.0027891,a
0.0028297,a
0.0028514,a
0.0030906,a
0.0032707,a
0.0034341,a
0.0036702,a
0.0038155,a
0.0039702,a
0.0040774,a
0.0041452,a
0.0042875,a
0.0043626,a
0.0043057,a
0.004317,a
0.0043125,a
0.0042604,a
0.0042763,a
0.0043577,a
0.0044462,a
0.0044342,a
0.0043626,a
0.0043542,a
0.0043246,a
0.0042534,a
0.0042636,a
0.0043239,a
0.0043679,a
0.0043607,a
0.0043353,a
0.004358,a
0.0043661,a
0.0043118,a
0.0042713,a
0.0042636,a
0.0042797,a
0.0042964,a
0.0043312,a
0.0043867,a
0.0044229,a
0.0044398,a
0.0044191,a
0.0043709,a
0.0042896,a
0.0042682,a
0.0042669,a
0.0042187,a
0.0042459,a
0.0042877,a
0.004316,a
0.004328,a
0.0043103,a
0.0043035,a
0.0043215,a
0.0043673,a
0.0044101,a
0.0044109,a
0.0044112,a
0.0043991,a
0.0043727,a
0.0043651,a
0.0043459,a
0.0043666,a
0.0043663,a
0.0043723,a
0.00442,a
0.0044693,a
0,a
0.0045511,a
0.0045896,a
0.0046335,a
0.004599,a
0.0045242,a
0.0045002,a
0.0045106,a
0.0045368,a
