Depth,Exp
0.0042186,d
0.0042171,d
0.0042462,d
0.0042567,d
0.004259,d
0.0042915,d
0.0042702,d
0.0042212,d
0.0042583,d
0.0043236,d
0.0043468,d
0.0043461,d
0.0043411,d
0.0043081,d
0.0043107,d
0.0043507,d
0.0043132,d
0.0042135,d
0.0042004,d
0.0042667,d
0.0042996,d
0.004288,d
0.0042756,d
0.0042736,d
0.0042909,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
7.57E-06,d
0,d
-4.76E-05,d
8.69E-06,d
1.47E-05,d
1.48E-05,d
3.48E-05,d
7.91E-05,d
0.00010098,d
8.85E-05,d
7.96E-05,d
7.74E-05,d
0.00010641,d
0.00014953,d
0.00018266,d
0.00025037,d
0.00044034,d
0.0005502,d
0.00075356,d
0.0010113,d
0.0011167,d
0.0011852,d
0.0013754,d
0.0017015,d
0.0018382,d
0.0018977,d
0.0021468,d
0.0024818,d
0.0028136,d
0.0030916,d
0.0032288,d
0.0033796,d
0.0035182,d
0.0036137,d
0.0037024,d
0.0037931,d
0.0038173,d
0.0038638,d
0.0039524,d
0.0039917,d
0.0040561,d
0.0040842,d
0.0040609,d
0.0041014,d
0.004094,d
0.0040175,d
0.0040184,d
0.0040688,d
0.0041322,d
0.0041783,d
0.00417,d
0.004166,d
0.0041316,d
0.0040964,d
0.0041496,d
0.0041713,d
0.0042146,d
0.0042519,d
0.0041923,d
0.0041578,d
0.0041657,d
0.0041703,d
0.0041867,d
0.004179,d
0.0041622,d
0.0041668,d
0.0041358,d
0.0041481,d
0.0042303,d
0.0042591,d
0.0042419,d
0.0042217,d
0.0041734,d
0.004134,d
0.004122,d
0.0041295,d
0.0041644,d
0.0041453,d
0.0040922,d
0.0040477,d
0.0040453,d
0.0041124,d
0.004158,d
0.0041557,d
0.0041694,d
0.0042088,d
0.0042615,d
0.0042973,d
0.0042658,d
0.004229,d
0.004261,d
0.0042661,d
0.00424,d
0.0042207,d
0.0041109,d
0.0039968,d
0.0039491,d
0,d
0.0039363,d
0,d
0,d
0.0039949,d
0.0039586,d
0.0039195,d
0.0039663,d
0.0040355,d
0.004022,d
0.0040271,d
0.0040774,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
-1.22E-05,d
0,d
9.30E-06,d
0,d
5.76E-05,d
0,d
8.09E-05,d
4.93E-05,d
4.04E-05,d
6.00E-05,d
0,d
9.68E-06,d
-1.75E-05,d
7.31E-06,d
3.86E-05,d
0.000158,d
0.00032457,d
0.0003539,d
0.00030768,d
0.00029993,d
0.00054987,d
0.00087328,d
0.0009718,d
0.0010569,d
0.0013259,d
0.0016237,d
0.0019103,d
0.0021777,d
0.0024171,d
0.0027282,d
